company,date,info,link
パナソニック,2025-11-26 13:10:01,パナソニック コネクト、PRIDE指標2025において「レインボー認定」を2年連続で獲得 ～セクターを超えた協働プロジェクト「Pride Action30」が評価され、LGBTQ+の理解促進に貢献～,https://news.panasonic.com/jp/topics/206505
パナソニック,2025-11-26 11:30:00,業界唯一お風呂につかって全身うるおい（保湿）ケア Panasonic BATHROOM「Beauty care style」の提案を開始,https://news.panasonic.com/jp/press/jn251126-1
パナソニック,2025-11-26 11:10:01,世界最大級のロボット専門展【2025国際ロボット展】に出展 ～「物と心が共に豊かな理想の社会」を実現するロボティクス技術を紹介～,https://news.panasonic.com/jp/topics/206502
川崎重工,2025-11-26 10:00:00,ソーシャルロボットの実証実験場「Future Lab HANEDA」をソーシャルイノベーション共創拠点「KAWARUBA」に統合,https://kawasakirobotics.com/jp/news/20251126_flh_kawaruba/
パナソニック,2025-11-25 20:00:00,パナソニック エナジー、米国の自動運転ライドシェアサービス企業ズークス社にリチウムイオン電池を供給し、急成長するロボタクシー分野へ参入,https://news.panasonic.com/jp/press/jn251125-1
パナソニック,2025-11-25 13:10:01,業界初「周期始動方式」のバッテリー自動点検に対応した「みるだけバッテリーチェック」機能付き誘導灯を発売,https://news.panasonic.com/jp/topics/206499
パナソニック,2025-11-21 17:00:00,キッチンから空港、新素材開発まで。パナソニックグループのAIが社会を“丸ごと”変える,https://news.panasonic.com/jp/stories/18063
川崎重工,2025-11-21 15:00:00,博多と壱岐・対馬を結ぶ超高速旅客船「川崎ジェットフォイル」を受注,https://www.khi.co.jp/pressrelease/detail/20251121_1.html
パナソニック,2025-11-21 14:10:01,タフブック FZ-55、整備現場の生産性向上とDXを加速する頑丈PCとして大阪トヨペットに採用 ～確かな頑丈性と大画面、高性能で作業効率を大幅に改善～,https://news.panasonic.com/jp/topics/206490
パナソニック,2025-11-21 13:10:01,～お菓子と料理をつなぐ新しい食体験を家庭に～ パナソニック「オートクッカー ビストロ」とロッテのコラボレーションレシピ、レディーボーデンを使ったポタージュなど秋冬の食卓を彩るメニューを公開,https://news.panasonic.com/jp/topics/206489
川崎重工,2025-11-21 09:30:00,「Kawasaki Sustainability Report 2025」の発行について,https://www.khi.co.jp/news/detail/20251121_b1.html
川崎重工,2025-11-20 18:17:40,「2025国際ロボット展」（iREX2025）出展のお知らせ,https://kawasakirobotics.com/jp/event/irex2025/
パナソニック,2025-11-20 14:00:00,パナソニック オートモーティブシステムズが「Open Invention Network」に加盟,https://news.panasonic.com/jp/press/jn251120-1
パナソニック,2025-11-20 11:10:01,パナソニック株式会社「食品関連施設の衛生管理に関する意識・実態調査2025」,https://news.panasonic.com/jp/topics/206497
川崎重工,2025-11-20 11:00:00,Kotoznaと川崎重工が連携した旅行者向け多言語AIチャットボットサービスが沖縄県で正式導入,https://www.khi.co.jp/pressrelease/news_251120-1.pdf
パナソニック,2025-11-20 11:00:00,YKK APとパナソニックHDによる「ガラス型ペロブスカイト太陽電池を内窓に用いた建材一体型太陽光発電」の実装検証を「谷町YFビル」にて開始,https://news.panasonic.com/jp/press/jn251120-3
パナソニック,2025-11-20 10:10:01,【東京都戸建て住宅100世帯対象】電力需給の最適化に向けたEV充電の遠隔制御実証を開始 ～おうちEV充電サービスを活用し、市場価格の安価な時間に自動充電制御。電気代削減と電力ピークシフトを検証～,https://news.panasonic.com/jp/topics/206496
パナソニック,2025-11-19 13:10:02,新開発「スゴ取れセンサー」搭載 セパレート型コードレススティック掃除機 MC-NX500Kを発売,https://news.panasonic.com/jp/topics/206494
安川電機,2025-11-19 06:11:46,テクニカルレポート発行（2025 No.1）食の安全、安定供給に向けた自動化・データ活用ソリューション～ロボットによる自動化セル、植物工場システム～,https://www.yaskawa.co.jp/technology/technical-report/detail251118
パナソニック,2025-11-18 13:10:01,「サステナビリティレポート 2025」を公開 ～サプライチェーン全体のCO2排出量削減への貢献と、グローバルな人材育成を加速～,https://news.panasonic.com/jp/topics/206493
パナソニック,2025-11-17 16:30:00,YKK株式会社とパナソニック ホールディングス株式会社によるパナソニック ハウジングソリューションズ株式会社の株式譲渡契約の締結について,https://news.panasonic.com/jp/press/jn251117-3
川崎重工,2025-11-17 15:00:00,LGBTQ＋の取組み評価指標「PRIDE指標2025」で最高評価の「ゴールド」を８年連続受賞,https://www.khi.co.jp/news/detail/20251117_1.html
川崎重工,2025-11-17 14:00:00,万博会場で体験型ワークショップを開催 ～ものづくりを通じて次世代とつながる～ ,https://www.khi.co.jp/news/detail/20251117_b1.html
パナソニック,2025-11-17 13:40:01,パナソニック オートモーティブシステムズがセクシャルマイノリティに関する取り組みを評価する「PRIDE指標」で初の「ブロンズ」認定を獲得,https://news.panasonic.com/jp/topics/206485
パナソニック,2025-11-17 13:10:01,ゲーミングネックスピーカー SC-GNW10SのファイナルファンタジーXIV エディション「SC-GNW10S-FF」を発売,https://news.panasonic.com/jp/topics/206484
パナソニック,2025-11-17 11:10:01,「国際画像機器展2025」に出展、世界最高クラスの高感度と最大4Kの高解像度を実現した『ハイパースペクトルカメラ』新製品を初展示 ～パナソニックブースの展示概要と見どころ～,https://news.panasonic.com/jp/topics/206488
パナソニック,2025-11-17 11:00:00,ベトナム拠点で洗濯機の累計出荷台数500万台を達成,https://news.panasonic.com/jp/press/jn251117-1
パナソニック,2025-11-17 10:00:00,EV用電池で地域と共に描く、持続可能な未来～カンザス州に広がる共創の輪,https://news.panasonic.com/jp/stories/18040
パナソニック,2025-11-14 15:00:00,グリーンイノベーション基金事業で「ガラス型ペロブスカイト太陽電池の量産技術開発とフィールド実証」に着手,https://news.panasonic.com/jp/press/jn251114-1
パナソニック,2025-11-14 13:00:00,パナソニック ホールディングスがMSCI ESG格付において最上位評価「AAA」を取得,https://news.panasonic.com/jp/press/jn251114-2
川崎重工,2025-11-14 11:00:00,「安全離着岸支援システム」の基本設計承認（AiP）および「操船支援情報表示装置」のP&S認証をClassNKから取得,https://www.khi.co.jp/pressrelease/detail/20251114_1.html
川崎重工,2025-11-13 15:00:00,インドネシアで設立した油圧機器販売会社が営業開始,https://www.khi.co.jp/news/detail/20251113_1.html
パナソニック,2025-11-13 13:00:00,東武鉄道と日立製作所が共同推進する「SAKULaLa（サクララ）」の顔認証改札導入に貢献,https://news.panasonic.com/jp/press/jn251113-1
安川電機,2025-11-13 04:00:16,ソリューションコンセプトi³-Mechatronicsを実現するYRMコントローラ「YRM1030」を販売開始 ― 自動化されたセルを容易に構築し、生産性の向上に貢献 ―,https://www.yaskawa.co.jp/newsrelease/product/1456055
川崎重工,2025-11-12 15:00:00,神戸工場内にCO2分離回収実証設備が完成、CO₂回収事業の展開加速へ,https://www.khi.co.jp/pressrelease/detail/20251112_1.html
パナソニック,2025-11-12 14:00:00,パナソニック オートモーティブシステムズが「EdgeTech+ AWARD 2025」の「Edge Technology優秀賞」を受賞,https://news.panasonic.com/jp/press/jn251112-3
パナソニック,2025-11-12 14:00:00,「VERZEUSE(R)」シリーズがSDV対応へ進化 コックピットHPC時代の車両ライフサイクル全体を守る自動車サイバーセキュリティを実現,https://news.panasonic.com/jp/press/jn251112-1
パナソニック,2025-11-12 11:10:01,【イベントレポート】有酸素運動とピラティスの組み合わせで心も体もリフレッシュ！ ～eバイク「XEALT（ゼオルト）」でのショートツアー×ピラティスイベントを実施～,https://news.panasonic.com/jp/topics/206477
パナソニック,2025-11-12 11:00:00,可視光領域ハイパースペクトルカメラAG-HSV10M発売,https://news.panasonic.com/jp/press/jn251112-4
川崎重工,2025-11-12 10:35:26,標準化関連活動への貢献を称える日本規格協会の「標準化奨励賞」受賞について,https://www.khi.co.jp/news/detail/20251111_b1.html
安川電機,2025-11-12 07:30:25,【出展のお知らせ】2025国際ロボット展,https://www.yaskawa.co.jp/newsrelease/event/1456042
安川電機,2025-11-12 05:47:15,2025年度第3四半期決算発表予定日について,https://www.yaskawa.co.jp/ir/news/1456075
パナソニック,2025-11-11 13:30:00,電気設備の観点から、住まいづくりの新スタンダードを提案「でんきの設備でeくらし」を開始,https://news.panasonic.com/jp/press/jn251111-1
川崎重工,2025-11-11 11:30:20,2025年度第2四半期　決算説明会音声配信（YouTubeへリンク）,https://www.khi.co.jp/ir/library/audio/20251111.html
川崎重工,2025-11-11 11:30:10,2025年度第2四半期　決算説明資料　(PDF:3.54MB),https://www.khi.co.jp/ir/pdf/pre_251111-1j.pdf
川崎重工,2025-11-11 11:30:00,2025年度第2四半期　決算短信（連結）　(PDF:654KB),https://www.khi.co.jp/ir/pdf/sta_251111-1j.pdf
パナソニック,2025-11-10 16:00:00,苫小牧市とパナソニックが男女平等参画の推進に向けた実証実験に関する協定を締結,https://news.panasonic.com/jp/press/jn251110-1
パナソニック,2025-11-10 15:10:01,中高生が生成AIを活用し未来の新聞を編集・製作。パナソニック、朝日新聞社と江戸川区が共同イベントを開催,https://news.panasonic.com/jp/topics/206476
パナソニック,2025-11-10 11:00:00,技術が開く、未来のトビラ：排せつのお悩みに、これ1台 「ラフィーネキューブ」＋歩行サポート手すり「スムーディ」,https://news.panasonic.com/jp/stories/17896
パナソニック,2025-11-07 11:00:00,現場CPS1.0→2.0への進化で目指す“ひとと技術”の共創とは,https://news.panasonic.com/jp/stories/18057
パナソニック,2025-11-07 10:10:01,パナソニック ソリューションテクノロジーの「WisOCR」とシヤチハタの「Shachihata Cloud」が機能連携を開始 ～高精度AI-OCR活用でバックオフィスのDXを加速～,https://news.panasonic.com/jp/topics/206474
パナソニック,2025-11-06 14:10:01,商業・オフィス用木質床材「ボアシス 6 mmタイプ」の施工対応範囲が拡充、コンクリートスラブ下地・捨て貼り合板下地への直貼り施工が可能に,https://news.panasonic.com/jp/topics/206473
パナソニック,2025-11-06 13:00:00,【最新ポイント解説】中期環境行動計画 GREEN IMPACT PLAN 2024の進捗～パナソニックグループ サステナビリティ データブック 2025,https://news.panasonic.com/jp/stories/18006
川崎重工,2025-11-06 11:00:00,国内初、水素航空機向け燃料タンクの液化水素充填試験に成功,https://www.khi.co.jp/pressrelease/detail/20251106_1.html
